id;login;rating;num_games;filteredRanking;ranking
93450;TridentArcher;1163;231;168;254
136491;Gorzag;1162;740;169;255
435;Hammac;1157;4777;170;259
180720;Wifi_;1155;61;171;261
14491;oberchef;1153;340;172;263
1245;Nooby;1151;198;173;265
145245;koleos;1150;2965;174;266
218253;White_Free_Owl;1150;241;175;267
123464;Armaster;1149;72;176;268
144839;Bullydozer;1147;85;177;270
205607;Palpatine;1145;257;178;271
45;Albatard;1140;434;179;274
118213;hawk289;1139;3582;180;275
116867;Explosive;1134;295;181;276
95407;NomenNominandum;1133;68;182;277
38166;Sloth;1129;172;183;279
90064;Insolence;1127;494;184;280
123626;Mastermandel;1127;798;185;281
173654;pimpdaddysmith;1127;294;186;282
185631;BravePawn;1126;292;187;283
30361;BRNKoINSANITY;1118;276;188;287
148383;peterpji;1116;61;189;289
47827;Feather;1113;79;190;291
70140;FadingBadger;1112;310;191;292
64606;yovacm;1106;1007;192;295
171957;macomo;1101;74;193;299
110765;elPollo;1097;81;194;301
6344;RainManGrizzli;1092;3570;195;302
98956;radijsdude;1092;931;196;303
182671;hirschy;1089;170;197;306
9623;hal9K;1086;1680;198;308
102889;johnice227;1086;282;199;309
197415;MagneticTherapy;1083;168;200;313
26010;linksmius;1082;374;201;314
1815;cks17;1081;269;202;315
44675;Thorgaming;1079;661;203;316
65341;Sheikah;1078;614;204;317
146155;Lt_Gen_Fluffy;1077;439;205;318
145693;CN_LinLin;1067;136;206;323
117552;Mozzy;1059;450;207;329
75258;Schaiwo;1057;117;208;332
69412;Marzipan;1051;207;209;335
226134;rt20bg;1046;54;210;337
101417;Evildrew;1045;285;211;338
219527;Crips;1045;322;212;339
4718;The_snowman;1042;52;213;340
203172;PARALON;1042;78;214;342
3823;Nojoke;1041;1606;215;343
160756;Freedom223;1039;285;216;344
77015;BRS_HAZARD;1038;450;217;346
729;Crazy_Cossack;1035;5286;218;348
78476;spooky9;1034;658;219;349
184132;schumer;1034;518;220;350
159827;ThesaurusREX;1033;168;221;351
76047;Thistle;1032;270;222;352
37457;PirateLord;1031;401;223;353
64733;Deckard97;1030;228;224;355
14627;jackhammer2k;1029;63;225;356
188540;Red_Owl;1028;101;226;357
129265;Umbalanced;1025;327;227;358
80179;cherubim;1024;353;228;360
54960;stormbeforedawn;1017;671;229;365
168755;TheNeonDemon;1012;319;230;367
188223;NoNa;1012;144;231;368
6575;N00BYZOR;1010;1555;232;371
17172;Dsotf;1010;662;233;372
163768;benniS;1009;420;234;373
168955;EvanGalea;1009;66;235;374
179434;Shakalaka;1009;66;236;375
170460;theblackgnome;1008;199;237;376
199455;Penultimatum;1006;47;238;378
39702;Arsenius;1002;218;239;381
61313;NapSpan;1002;328;240;382
132737;Tylosaur;1001;284;241;385
149576;Luke_Landwalker;1001;664;242;386
71369;Skriker;999;792;243;388
223950;LondonUncle;999;65;244;389
453;Haterslayer;997;55;245;390
190615;TIMeWALL;995;72;246;393
17886;SirMonopoly;994;1147;247;394
123969;Lach_Stock;990;2260;248;395
146754;Get_Schwifty;983;86;249;401
191629;Crazy_CreePa;982;219;250;403
142219;The_Smudge;981;608;251;404
37003;RoundTabler;980;515;252;405
48263;Skinner;980;1093;253;406
80715;alargegirl288;980;348;254;407
184018;partymarty81;980;399;255;408
196282;Mike_FTGODD;980;123;256;409
18551;AngryCyclist;979;318;257;410
100950;Ratchet;975;855;258;411
25027;Dahyerin;974;78;259;412
1438;SkyOut;973;163;260;414
43741;sasin;973;152;261;415
187941;nightblood;973;64;262;416
122673;FA-NA;972;60;263;417
137182;StarCommander;969;979;264;421
100416;Deribus;968;149;265;422
183027;ceptin;966;114;266;426
121584;Jabroni-hunter;962;89;267;429
38512;Aldarion;961;6420;268;430
72622;HerrDoctoR;961;200;269;431
138397;Reuenthal;959;105;270;434
167554;TheRev213;958;592;271;435
205709;CaptBaron;958;700;272;437
170627;jediflamaster;957;807;273;440
79388;arkitect;955;377;274;441
122186;GrosserZwerg;955;115;275;442
24457;Xequix;949;607;276;445
48426;Keeperofthe7keys;947;84;277;446
150402;ReverendPoon;947;97;278;447
177117;Azuros;946;223;279;448
428;UILagger;943;541;280;451
16544;muhan111;942;1710;281;452
24618;SoNinJa;942;189;282;453
58814;Dunstklinge;941;90;283;454
21231;Val_Haris;938;1697;284;457
46467;Raishini;937;239;285;459
167501;Gruntti;936;187;286;461
44773;Orim;934;92;287;463
101561;ITER;932;478;288;466
8799;TheExtraEngineer;927;122;289;468
17233;hangyaboy;927;1154;290;469
33704;Takegath;925;82;291;472
15289;saxonia;924;1913;292;473
143176;Mishu;921;476;293;475
34270;Dragst;919;710;294;476
104693;socialist;914;108;295;481
198795;dunkle0steus;911;139;296;484
214539;TheRedPlague;911;103;297;485
64863;Killerbishy0;910;389;298;486
96218;PukanUragan;908;126;299;488
195232;Paradox_of_War;907;55;300;489
1232;Erninnjo;902;129;301;493
189145;UnlikeTea;897;223;302;498
27338;TriAngel;896;204;303;499
32904;Silven;896;217;304;500
85172;ubiquitous;895;1592;305;503
206645;SuperhanzNoob;895;66;306;505
47132;Metatron;893;706;307;506
86430;bobbuild;891;4808;308;508
44051;TheWreck;890;269;309;509
113989;KingKirti;889;78;310;510
47838;ares488;888;136;311;511
46754;i5;887;226;312;512
29748;C-Star;886;85;313;513
173971;PsyScissors;886;65;314;514
203062;nnnttxx;884;167;315;516
53423;Scoot;881;890;316;517
82288;pstate;881;142;317;519
1226;Demon_arm;877;2110;318;520
48738;hulaboy171;876;721;319;521
138145;Immortus;876;87;320;522
167992;setzer;875;83;321;523
166342;ErichvonManstein;872;243;322;526
130989;lancermofo;870;268;323;528
26452;SolidSnake;868;59;324;529
55111;HaMLeT;866;106;325;530
69094;Dojah;865;1084;326;533
192408;The_Corinthian;865;190;327;534
156936;LegendOfTheStars;863;1102;328;536
48524;moselpatron;861;79;329;537
35124;menin;857;734;330;541
144;kornhulios;854;184;331;544
21060;NR_General_kozi;851;42;332;545
29514;Duriel_;851;89;333;546
185780;Toddy;851;121;334;547
5151;Roller;847;223;335;550
59508;GeneralMonty;847;767;336;551
225405;WonJuan;847;101;337;552
141777;SpaceCat;844;139;338;555
38343;k3ntin;843;536;339;556
34420;Jeronimoooooooh;841;648;340;558
179737;Irisheart;839;171;341;559
174608;MAPTOC;835;562;342;566
134672;Kromtoon;834;1035;343;568
148139;Thespladle;834;647;344;569
68346;Grif1991;830;45;345;572
191092;myEmperor;830;278;346;573
209100;esbee;830;231;347;574
111595;timoverdijk;828;147;348;576
115577;NarwhalPower;827;83;349;577
172710;threelegs;827;762;350;578
114281;Hybrid_;825;364;351;580
4989;ViceKing;823;364;352;581
103144;Nemesys;818;151;353;587
116340;FasterJump;818;978;354;588
103448;Mogg1;816;105;355;590
169205;Vzdor;813;139;356;597
27412;Yashimu;812;963;357;598
119903;kdevil;803;488;358;604
164801;Gabber;803;142;359;605
30448;un_dead_;801;147;360;606
124361;Gruenkohlkoenig;800;882;361;607
220498;morg_PEKA_rock;800;109;362;608
103577;Elzie;797;90;363;609
150018;Beepity-Bap-Boop;797;296;364;610
44915;resiina;795;182;365;611
143455;Stitch;793;72;366;615
13096;cinsiggy;792;140;367;617
15368;andrewk20;790;155;368;619
189449;Blue_Owl;790;62;369;620
27381;Exarsist;789;102;370;623
157755;Pewpewchewchew;789;140;371;624
2419;grozilla;788;1447;372;625
169592;black_vomit;788;526;373;626
17038;MAC_ATON;786;48;374;629
149577;justawesome;786;677;375;630
225735;Ultimae;786;319;376;632
72287;pinpenhens;785;111;377;634
81349;Vencam;784;358;378;635
102533;ParallaxCore;779;91;379;643
88081;Vivadego;778;642;380;647
97597;Erixxxon;775;367;381;654
26170;Hoister;773;80;382;660
29086;wulogiks;772;95;383;661
177389;Burnjuice;769;175;384;666
107917;garingt;767;225;385;672
74897;velocci;766;568;386;673
54114;War-07rus;765;66;387;674
61850;SmilingAssassin;765;562;388;675
61473;Beck;762;233;389;679
147129;BruderErik;762;458;390;682
134744;Shayar;761;112;391;687
34147;newcomer;760;2905;392;689
123029;Aguirre;759;255;393;691
95966;SpacecatCybran;758;307;394;692
